id,product_name,shop_name,price,monthly_sales,monthly_revenue,growth_rate,total_sales,reviews,listing_age_months,category,subcategory,search_term,competition,manufacturing_method,complexity,estimated_cogs,estimated_margin,opportunity_score,market_score,feasibility_score,profitability_score
110,Handmade Teak Wooden Dish Drying Rack: Over Sink Organizer,woodceylondotcom,438.08,6,2628.0,100,6,3,4,,,utensil holder wood kitchen,1332,Wood,Medium,,,58.099999999999994,38.0,82.0,61.0
187,Handmade Teak Wooden Dish Drying Rack: Over Sink Organizer,woodceylondotcom,438.08,6,2628.0,100,6,3,4,,,utensil holder wood kitchen,1332,Wood,Medium,,,58.099999999999994,38.0,82.0,61.0
264,Handmade Teak Wooden Dish Drying Rack: Over Sink Organizer,woodceylondotcom,438.08,6,2628.0,100,6,3,4,,,utensil holder wood kitchen,1332,Wood,Medium,,,58.099999999999994,38.0,82.0,61.0
21,CUSTOM CNC carved Natural Pine unpainted Letter routed wood sign,ShabtownSigns,39.0,62,2418.0,75,3676,830,54,CNC & Laser Cut Products,cnc_wood_signs,CNC wood sign custom,2576,,,,,,,,
23,Custom CNC Carved Wood Sign: Unpainted Letter,ShabtownSigns,39.0,62,2418.0,75,3676,830,54,CNC & Laser Cut Products,laser_cut_art,laser cut wood art,910,,,,,,,,
135,Custom CNC Carved Wood Sign: Unpainted Letter,ShabtownSigns,39.0,62,2418.0,75,3676,830,54,,,cnc_laser_products laser_cut_art,910,CNC/Laser,Medium,,,53.599999999999994,38.0,82.0,46.0
151,CUSTOM CNC carved Natural Pine unpainted Letter routed wood sign,ShabtownSigns,39.0,62,2418.0,75,3676,830,54,,,cnc_laser_products cnc_wood_signs,2576,CNC/Laser,Medium,,,48.8,26.0,82.0,46.0
212,Custom CNC Carved Wood Sign: Unpainted Letter,ShabtownSigns,39.0,62,2418.0,75,3676,830,54,,,cnc_laser_products laser_cut_art,910,CNC/Laser,Medium,,,53.599999999999994,38.0,82.0,46.0
228,CUSTOM CNC carved Natural Pine unpainted Letter routed wood sign,ShabtownSigns,39.0,62,2418.0,75,3676,830,54,,,cnc_laser_products cnc_wood_signs,2576,CNC/Laser,Medium,,,48.8,26.0,82.0,46.0
289,Custom CNC Carved Wood Sign: Unpainted Letter,ShabtownSigns,39.0,62,2418.0,75,3676,830,54,,,cnc_laser_products laser_cut_art,910,CNC/Laser,Medium,,,53.599999999999994,38.0,82.0,46.0
305,CUSTOM CNC carved Natural Pine unpainted Letter routed wood sign,ShabtownSigns,39.0,62,2418.0,75,3676,830,54,,,cnc_laser_products cnc_wood_signs,2576,CNC/Laser,Medium,,,48.8,26.0,82.0,46.0
12,Pick Any Letter | Hanging Beach Resin Art,NikkisStuffNThings,100.0,22,2200.0,50,747,240,36,Resin + Wood Hybrid Products,resin_art_coasters,resin art coaster,10055,,,,,,,,
159,Pick Any Letter | Hanging Beach Resin Art,NikkisStuffNThings,100.0,22,2200.0,50,747,240,36,,,resin_wood_combinations resin_art_coasters,10055,Resin/Epoxy,Medium,,,45.8,17.0,82.0,48.0
236,Pick Any Letter | Hanging Beach Resin Art,NikkisStuffNThings,100.0,22,2200.0,50,747,240,36,,,resin_wood_combinations resin_art_coasters,10055,Resin/Epoxy,Medium,,,45.8,17.0,82.0,48.0
313,Pick Any Letter | Hanging Beach Resin Art,NikkisStuffNThings,100.0,22,2200.0,50,747,240,36,,,resin_wood_combinations resin_art_coasters,10055,Resin/Epoxy,Medium,,,45.8,17.0,82.0,48.0
119,Custom Maple Spice Drawer Organizer| Modular Kitchen Spice Rack Insert Trays,imageworksva,28.56,70,1999.0,100,3132,666,77,,,spice drawer organizer wood,178,Wood,Medium,,,56.8,46.0,82.0,46.0
196,Custom Maple Spice Drawer Organizer| Modular Kitchen Spice Rack Insert Trays,imageworksva,28.56,70,1999.0,100,3132,666,77,,,spice drawer organizer wood,178,Wood,Medium,,,56.8,46.0,82.0,46.0
273,Custom Maple Spice Drawer Organizer| Modular Kitchen Spice Rack Insert Trays,imageworksva,28.56,70,1999.0,100,3132,666,77,,,spice drawer organizer wood,178,Wood,Medium,,,56.8,46.0,82.0,46.0
123,Handmade Reclaimed Wood Standing Desk: Industrial Hairpin Legs,PastosCo,398.25,5,1991.0,100,9,2,30,,,desk shelf monitor stand,1124,Wood,Medium,,,56.5,34.0,82.0,61.0
200,Handmade Reclaimed Wood Standing Desk: Industrial Hairpin Legs,PastosCo,398.25,5,1991.0,100,9,2,30,,,desk shelf monitor stand,1124,Wood,Medium,,,56.5,34.0,82.0,61.0
